ID,City,lat,lon,countryCode
3435910,Buenos Aires,-34.613152,-58.377232,AR
3435103,Curuzu Cuatia,-29.791710,-58.054600,AR
3866356,Alejandro Roca,-33.353691,-63.718491,AR
3847613,Las Varillas,-31.872080,-62.719460,AR
3833995,Totoras,-32.584400,-61.168522,AR
3431606,Las Toscas,-28.352900,-59.257950,AR
3841500,Perez,-32.998348,-60.767910,AR
3860199,Coronel Dorrego,-38.718670,-61.287319,AR
3854008,Huerta Grande,-31.075239,-64.490631,AR
3862320,Castelli,-25.946791,-60.619469,AR
3832647,Villa Regina,-39.099998,-67.066673,AR
3428708,San Luis del Palmar,-27.507900,-58.554539,AR
3433836,Garupa,-27.481710,-55.829208,AR
3430104,Paso de los Libres,-29.713110,-57.089909,AR
3832923,Victorica,-36.215050,-65.435860,AR
3843871,Monte Cristo,-31.343121,-63.944370,AR
3855098,General Levalle,-34.014721,-63.924129,AR
3832756,Villa Dolores,-31.945850,-65.189583,AR
3838638,Roldan,-32.898460,-60.906811,AR
3833675,Trevelin,-43.085800,-71.463860,AR
3429576,Retiro,-34.583328,-58.383331,AR
3859828,Cruz del Eje,-30.726440,-64.803871,AR
3833794,Tres Isletas,-26.340660,-60.432072,AR
3855067,General Ramirez,-32.176010,-60.200790,AR
3429439,Rosario del Tala,-32.302860,-59.145451,AR
3832959,Viale,-31.867821,-60.007221,AR
3835297,Sierra Grande,-41.606022,-65.355743,AR
3840885,Plottier,-38.966671,-68.233330,AR
3853748,Inriville,-32.944241,-62.230282,AR
3428975,San Javier,-30.577810,-59.931702,AR
3852279,La Carlota,-33.419930,-63.297691,AR
3835943,Santa Rosa de Calamuchita,-32.069050,-64.536308,AR
3844267,Miguel Riglos,-36.853981,-63.688419,AR
3859036,Eduardo Castex,-35.915009,-64.294479,AR
3843803,Monteros,-27.167419,-65.498322,AR
3430857,Margarita Belen,-27.261600,-58.972191,AR
3433959,Federacion,-31.006210,-57.899620,AR
3859278,Dolavon,-43.299999,-65.699997,AR
3834339,Tio Pujio,-32.287899,-63.355980,AR
3853350,Junin de los Andes,-39.950432,-71.069359,AR
3832608,Villa Trinidad,-30.213289,-61.875969,AR
3845251,Mainque,-39.066669,-67.300003,AR
3833112,Veinticinco de Mayo,-35.432301,-60.172710,AR
3428481,San Salvador,-31.624870,-58.505241,AR
3851331,La Falda,-31.088409,-64.489868,AR
3832729,Villa Giardino,-31.033331,-64.483330,AR
3842190,Palpala,-24.256479,-65.211632,AR
3430598,Monte Caseros,-30.253590,-57.636261,AR
3832376,Yacimiento Rio Turbio,-51.573212,-72.350800,AR
3862100,Ceres,-29.881001,-61.945042,AR
3839262,Recreo,-31.490761,-60.732990,AR
3866237,Almafuerte,-32.192959,-64.255592,AR
3844424,Mendiolaza,-31.267380,-64.300873,AR
3833111,Veinticinco de Mayo,-37.774101,-67.716377,AR
3832763,Villa del Totoral,-30.816669,-63.716671,AR
3846915,Libertador General San Martin,-23.806440,-64.787567,AR
3832631,Villa Rumipal,-32.187901,-64.480270,AR
3834048,Tostado,-29.232019,-61.769169,AR
3859409,Devoto,-31.404310,-62.306339,AR
3861416,Chimbas,-31.483330,-68.533333,AR
3832793,Villa Canas,-34.005650,-61.607571,AR
3866000,Alumine,-39.236858,-70.919701,AR
3855131,General Baldissera,-33.122459,-62.306301,AR
3834665,Tancacha,-32.243092,-63.980701,AR
3839263,Recreo,-29.281839,-65.060959,AR
3833412,Unquillo,-31.230730,-64.316147,AR
3839668,Quemu Quemu,-36.054630,-63.564281,AR
3855394,Fraile Pintado,-23.940790,-64.799431,AR
3835695,Sastre,-31.767620,-61.828861,AR
3853745,Intendente Alvear,-35.233829,-63.592049,AR
3833027,Vera,-29.459299,-60.212608,AR
3866214,Alpachiri,-37.377041,-63.774448,AR
3862883,Canals,-33.565418,-62.889271,AR
3836194,Santa Lucia,-31.539869,-68.495033,AR
3853562,James Craik,-32.161201,-63.466881,AR
3862761,Capilla del Monte,-30.860880,-64.525146,AR
3842559,Oro Verde,-31.825081,-60.517490,AR
3861002,Clodomira,-27.574400,-64.131081,AR
3853786,Ingeniero Jacobacci,-41.342690,-69.544792,AR
3865375,Arrufo,-30.232809,-61.728619,AR
3863050,Campo Quijano,-24.909821,-65.636559,AR
3846991,Leones,-32.661739,-62.296780,AR
3860811,Colonia Baron,-36.151520,-63.854038,AR
3429786,Puerto Esperanza,-26.015169,-54.673061,AR
3861966,Cervantes,-39.049999,-67.383331,AR
3864888,Balnearia,-31.008801,-62.667332,AR
3844229,Mina Clavero,-31.721001,-65.006187,AR
3841937,Parera,-35.146000,-64.500893,AR
3429738,Puerto Piray,-26.467791,-54.714760,AR
3853330,Justo Daract,-33.859402,-65.182770,AR
3851100,Lago Puelo,-42.080952,-71.614052,AR
3835238,Simoca,-27.262720,-65.356468,AR
3832806,Villa Ascasubi,-32.163509,-63.891571,AR
3856436,El Trebol,-32.200802,-61.701401,AR
3860466,Comandante Luis Piedra Buena,-49.985130,-68.914673,AR
3853974,Huinca Renanco,-34.840382,-64.375801,AR
3838797,Rio Segundo,-31.652599,-63.909901,AR
3857012,El Quebrachal,-25.283331,-64.066673,AR
3862251,Catrilo,-36.405979,-63.421680,AR
3852468,Laboulaye,-34.126621,-63.391190,AR
3835351,Serrano,-34.469711,-63.538422,AR
3435966,Bovril,-31.343109,-59.445122,AR
3855143,General Acha,-37.376980,-64.604309,AR
3862144,Centenario,-38.804329,-68.139977,AR
3861445,Chilecito,-29.161949,-67.497398,AR
3849140,La Quiaca,-22.102360,-65.592987,AR
3850005,Lamarque,-39.423038,-65.702080,AR
3838201,Sampacho,-33.383900,-64.722107,AR
3835710,Sarmiento,-45.588150,-69.069962,AR
3832662,Villa Nueva,-32.432930,-63.247631,AR
3842796,Obispo Trejo,-30.781281,-63.413479,AR
3865424,Arroyito,-31.420219,-63.050018,AR
3848353,Las Heras,-46.541859,-68.935928,AR
3833880,Trenel,-35.698372,-64.132179,AR
3864274,Berrotaran,-32.451000,-64.388672,AR
3864328,Beltran,-27.829130,-64.060982,AR
3834502,Termas de Rio Hondo,-27.499830,-64.860420,AR
3854724,Graneros,-27.649340,-65.438301,AR
3848164,Las Lomitas,-24.709551,-60.593029,AR
3835921,Santa Sylvina,-27.832609,-61.137470,AR
3862240,Caucete,-31.651791,-68.281052,AR
3857756,El Maiten,-42.049240,-71.166931,AR
3433349,Jardin America,-27.043461,-55.226978,AR
3837960,San Basilio,-33.497631,-64.314949,AR
3433363,Itati,-27.270430,-58.244579,AR
3435266,Concepcion de la Sierra,-27.983110,-55.520309,AR
3854331,Hernando,-32.426571,-63.733330,AR
3430648,Mocoreta,-30.618910,-57.963440,AR
3844933,Maquinchao,-41.250000,-68.733330,AR
3850920,Laguna Paiva,-31.303909,-60.658939,AR
3430709,Mercedes,-29.181860,-58.078949,AR
3853783,Ingeniero Luiggi,-35.385849,-64.465187,AR
3436030,Bernardo de Irigoyen,-26.255199,-53.645809,AR
3845202,Malagueno,-31.464670,-64.358398,AR
3861494,Chicoana,-25.100880,-65.533096,AR
3866367,Alderetes,-26.816669,-65.133331,AR
3428068,San Vicente,-26.616671,-54.133331,AR
3855074,General Pinedo,-27.316669,-61.283329,AR
3849924,La Mendieta,-24.311871,-64.963768,AR
3863377,Caleufu,-35.595589,-64.557777,AR
3855719,Etruria,-32.940079,-63.246601,AR
3855284,Gaiman,-43.289700,-65.492897,AR
3434731,El Colorado,-26.308081,-59.372910,AR
3428858,San Jose de Feliciano,-30.384520,-58.751671,AR
3843026,Noetinger,-32.365971,-62.311260,AR
3835372,Senillosa,-39.000000,-68.416672,AR
3429866,Presidencia de la Plaza,-27.001471,-59.842430,AR
3435750,Campo Viera,-27.383329,-55.033329,AR
3434095,Esquina,-30.014441,-59.527191,AR
3852480,Laborde,-33.153191,-62.856609,AR
3845344,Macachin,-37.135979,-63.666500,AR
3430180,Pampa del Indio,-26.064680,-59.918980,AR
3853592,Jacinto Arauz,-38.086060,-63.431690,AR
3832719,Villa Huidobro,-34.838261,-64.586861,AR
3431005,Lucas Gonzalez,-32.384300,-59.530128,AR
3836170,Santa Magdalena,-34.517761,-63.944092,AR
3429721,Puerto Tirol,-27.372181,-59.082062,AR
3863833,Brinkmann,-30.865900,-62.037418,AR
3839490,Quitilipi,-26.869129,-60.216831,AR
3865474,Arias,-33.644112,-62.402721,AR
3434291,El Soberbio,-27.298460,-54.198769,AR
3833211,Valle Hermoso,-31.117319,-64.480843,AR
3840860,Pocito,-31.683331,-68.583328,AR
3433648,Guarani,-27.516670,-55.166672,AR
3836772,San Pedro,-24.231270,-64.866142,AR
3435734,Candelaria,-27.459499,-55.745361,AR
3848863,Las Acequias,-33.281551,-63.976101,AR
3839565,Quimili,-27.633329,-62.416672,AR
3435340,Colonia Benitez,-27.330990,-58.946220,AR
3435532,Cerro Azul,-27.633101,-55.496201,AR
3832388,Winifreda,-36.226429,-64.233879,AR
3433580,Hasenkamp,-31.512260,-59.835449,AR
3856231,Embarcacion,-23.208981,-64.096046,AR
3429778,Puerto Ibicuy,-33.733330,-59.183331,AR
